sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,sc_51,sc_52,sc_53,sc_54,sc_55,sc_56,sc_57,sc_58,sc_59,sc_60,sc_61,sc_62,sc_63,pos_x,pos_y
0.00,14.32,15.52,16.49,17.46,17.26,18.03,17.00,16.03,14.32,13.34,12.37,10.44,9.22,8.06,8.06,9.06,8.25,9.49,10.44,10.77,10.77,10.77,10.77,11.18,10.30,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.28,16.28,16.28,15.62,15.00,13.89,13.00,12.37,12.04,12.04,13.34,14.56,15.81,17.72,17.46,19.24,19.03,19.00,20.02,18.25,17.26,15.30,14.32,13.04,13.00,12.04,1.0,3.0
0.00,13.60,15.00,15.81,16.40,17.69,17.69,17.03,16.40,13.89,13.42,12.08,10.77,9.85,8.94,8.60,8.49,7.81,8.60,9.43,10.30,10.82,10.30,11.18,10.30,9.85,9.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.03,16.00,16.00,15.03,15.13,13.34,12.65,12.53,11.40,12.73,13.60,14.42,15.26,16.64,17.20,18.44,18.38,18.44,20.00,18.87,17.49,16.12,13.89,13.04,12.81,12.04,1.0,3.0
0.00,12.04,13.45,14.21,14.87,16.28,15.62,15.26,14.76,12.08,11.70,10.44,9.49,7.62,6.71,7.81,7.81,7.81,8.60,8.60,9.43,9.43,10.00,9.43,8.60,8.06,7.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.30,15.30,16.12,16.03,15.03,14.00,13.04,11.18,10.44,10.30,11.40,12.04,12.73,13.45,14.87,16.28,16.40,17.20,17.49,17.00,16.16,13.93,13.00,12.08,11.18,10.63,1.0,3.0
0.00,8.60,12.04,14.87,17.03,19.21,20.00,19.42,18.87,16.12,14.76,13.00,10.44,7.28,4.12,1.00,2.24,4.12,7.28,9.49,11.70,12.65,13.00,13.00,13.42,13.04,10.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03,15.03,15.13,15.30,14.32,12.37,10.44,7.62,4.47,2.24,2.24,5.00,8.00,10.00,12.00,14.00,15.03,15.13,17.12,16.28,14.32,12.37,10.20,7.07,4.00,2.24,1.0,3.0
0.00,9.22,11.40,14.21,15.62,16.97,17.69,16.40,15.81,12.53,10.77,8.54,5.39,2.24,1.41,3.16,6.08,9.22,10.44,12.65,13.60,14.87,13.93,13.60,12.65,11.40,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.65,13.93,15.23,15.65,15.65,13.89,13.04,10.00,8.49,5.83,5.00,5.83,7.07,9.22,11.40,12.81,13.45,14.14,16.28,15.62,13.60,12.21,10.00,7.81,4.47,4.12,1.0,3.0
0.00,6.40,2.24,2.24,7.21,9.43,13.04,16.12,17.00,18.79,19.31,18.97,17.72,16.49,14.14,12.04,9.00,6.08,3.16,1.41,4.12,7.07,9.00,11.00,13.04,14.04,14.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,14.87,17.46,19.42,21.38,21.21,21.10,21.10,19.03,16.03,13.00,9.06,5.39,3.16,5.00,9.22,12.21,15.00,17.20,19.42,21.40,21.40,20.62,19.21,17.80,14.21,1.0,3.0
0.00,7.07,2.24,2.83,6.71,9.85,13.00,15.65,17.00,17.49,18.03,18.60,17.80,16.28,14.14,12.04,8.60,5.83,3.16,1.00,3.61,6.40,7.81,10.00,12.21,13.04,13.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.18,13.60,16.16,18.79,20.12,20.59,20.59,19.72,18.03,15.81,12.21,8.49,5.00,3.16,5.10,9.00,12.00,14.00,17.03,19.03,21.00,21.00,21.00,19.00,17.00,14.00,1.0,3.0
0.00,11.18,8.54,7.07,6.08,6.71,7.81,9.90,11.31,12.04,12.21,13.04,13.42,13.00,12.37,11.18,10.05,8.06,7.07,5.10,3.61,3.61,4.12,5.00,6.32,7.28,7.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,10.20,10.77,13.00,13.42,14.76,14.76,15.26,13.89,13.04,12.21,10.00,8.49,7.21,7.28,8.00,10.05,12.04,15.03,17.03,18.00,19.10,18.25,18.68,17.09,16.16,1.0,3.0
0.00,13.00,10.30,7.81,8.06,8.25,10.05,12.00,14.04,13.15,14.32,14.87,14.32,14.76,13.04,12.81,10.63,7.81,6.40,5.39,4.00,4.47,5.00,6.40,7.21,8.06,8.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.81,9.43,10.77,13.34,14.32,16.12,17.12,18.11,18.11,16.12,15.03,13.04,11.00,10.20,8.54,10.00,11.31,12.81,16.40,18.44,19.10,20.52,21.40,20.25,20.59,17.89,1.0,3.0
0.00,11.66,8.94,7.28,6.00,6.71,8.06,10.00,11.40,11.40,12.53,13.42,13.93,12.37,12.17,11.05,10.00,8.00,6.00,5.10,3.61,3.61,4.12,5.00,6.08,7.28,7.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,10.05,11.18,12.65,13.93,14.87,16.16,15.23,13.93,13.42,12.08,10.30,8.60,7.81,7.62,8.25,10.05,12.00,15.00,17.03,18.25,18.44,18.97,18.38,17.89,16.12,1.0,3.0
